# --------------------------------------------------------------------,,,
# USE OF NOAA ESRL DATA,,,
#,,,
# These data are made freely available to the public and the,,,
# scientific community in the belief that their wide dissemination,,,
# will lead to greater understanding and new scientific insights.,,,
# The availability of these data does not constitute publication,,,
# of the data.  NOAA relies on the ethics and integrity of the user to,,,
# ensure that GML receives fair credit for their work.  If the data,,,
# are obtained for potential use in a publication or presentation,,,
# GML should be informed at the outset of the nature of this work.,,,
# If the GML data are essential to the work, or if an important,,
# result or conclusion depends on the GML data, co-authorship,,
# may be appropriate.  This should be discussed at an early stage in,,,
# the work.  Manuscripts using the GML data should be sent to GML,,,
# for review before they are submitted for publication so we can,,,
# ensure that the quality and limitations of the data are accurately,,,
# represented.,,,
#,,,
# Contact:   Ed Dlugokencky (303 497 6228; ed.dlugokencky@noaa.gov),,,
#,,,
# File Creation:  Fri Feb  5 07:55:52 2021,,,
#,,,
# RECIPROCITY,,,
#,,,
# Use of these data implies an agreement to reciprocate.,,,
# Laboratories making similar measurements agree to make their,,,
# own data available to the general public and to the scientific,,,
# community in an equally complete and easily accessible form.,,,
# Modelers are encouraged to make available to the community,,,
# upon request, their own tools used in the interpretation,,
# of the GML data, namely well documented model code, transport,
# fields, and additional information necessary for other,,
# scientists to repeat the work and to run modified versions.,,,
# Model availability includes collaborative support for new,,,
# users of the models.,,,
# --------------------------------------------------------------------,,,
#,,,
#,,,
# See www.esrl.noaa.gov/gmd/ccgg/trends/ for additional details.,,,
#,,,
#,,,
# The uncertainty in the global monthly mean is estimated using a,,,
# a monte carlo technique that computes 100 globally-averaged time,,,
# series, each time using a slightly different set of measurement,,
# records from the NOAA ESRL cooperative air sampling network.  The,,,
# reported uncertainty, 0.13 ppm, is the mean of the standard deviations,
# for each monthly mean using this technique.  Please see Conway et al.,,,
# 1994, JGR, vol. 99, no. D11. for a complete discussion.  Units are ppm.
#,,,
# CO2 expressed as a mole fraction in dry air, micromol/mol, abbreviated as ppm,
#,,,
# NOTE: In general, the data presented for the last year are subject to change,,
# depending on recalibration of the reference gas mixtures used, and other quality,,
# control procedures. Occasionally, earlier years may also be changed for the same,,
# reasons.  Usually these changes are minor.,,,
,,,
** Calculated gr using (atmCO2 (t) - atmCO2 (t-1))*2.12; units are GtC/month,,,
,,,
Date,average_ppm,trend,monthly_gr
1980-1,338.45,337.82,
1980-2,339.15,338.1,1.484
1980-3,339.47,338.13,0.6784
1980-4,339.87,338.25,0.848
1980-5,340.3,338.78,0.9116
1980-6,339.86,339.08,-0.9328
1980-7,338.33,339.18,-3.2436
1980-8,337.1,339.37,-2.6076
1980-9,336.94,339.33,-0.3392
1980-10,337.71,339.05,1.6324
1980-11,338.82,339.16,2.3532
1980-12,339.54,339.3,1.5264
1981-1,340.09,339.46,1.166
1981-2,340.66,339.61,1.2084
1981-3,341.29,339.94,1.3356
1981-4,341.57,339.96,0.5936
1981-5,341.29,339.76,-0.5936
1981-6,340.49,339.71,-1.696
1981-7,339.11,339.95,-2.9256
1981-8,337.96,340.24,-2.438
1981-9,337.86,340.25,-0.212
1981-10,338.96,340.3,2.332
1981-11,340.06,340.39,2.332
1981-12,340.64,340.41,1.2296
1982-1,341.26,340.65,1.3144
1982-2,341.85,340.79,1.2508
1982-3,342.13,340.75,0.5936
1982-4,342.42,340.81,0.6148
1982-5,342.27,340.74,-0.318
1982-6,341.39,340.63,-1.8656
1982-7,339.66,340.52,-3.6676
1982-8,338.03,340.31,-3.4556
1982-9,338.08,340.45,0.106
1982-10,339.53,340.87,3.074
1982-11,340.85,341.19,2.7984
1982-12,341.68,341.43,1.7596
1983-1,342.27,341.61,1.2508
1983-2,342.65,341.61,0.8056
1983-3,342.94,341.61,0.6148
1983-4,343.42,341.84,1.0176
1983-5,343.74,342.22,0.6784
1983-6,343.41,342.61,-0.6996
1983-7,342.04,342.81,-2.9044
1983-8,340.52,342.75,-3.2224
1983-9,340.44,342.85,-0.1696
1983-10,341.66,343.07,2.5864
1983-11,342.74,343.09,2.2896
1983-12,343.4,343.18,1.3992
1984-1,344.23,343.57,1.7596
1984-2,344.73,343.73,1.06
1984-3,344.87,343.51,0.2968
1984-4,345.1,343.47,0.4876
1984-5,345.24,343.69,0.2968
1984-6,344.47,343.71,-1.6324
1984-7,343.11,343.93,-2.8832
1984-8,342.12,344.41,-2.0988
1984-9,342.05,344.49,-0.1484
1984-10,342.91,344.29,1.8232
1984-11,344.08,344.39,2.4804
1984-12,344.92,344.63,1.7808
1985-1,345.27,344.58,0.742
1985-2,345.72,344.7,0.954
1985-3,346.56,345.24,1.7808
1985-4,346.85,345.24,0.6148
