time,CO2_ppm_MLO,CO2_ppm_SPO,CO2_gr_MLO,CO2_gr_SPO,CO2_ppm_global
3/15/1958,,313.95,,0.2544,
4/15/1958,,314.07,,0.5512,
5/15/1958,,314.33,,-0.0848,
6/15/1958,,314.29,,0.212,
7/15/1958,,314.39,,0.8268,
8/15/1958,314.43,314.78,1.5476,-0.424,
9/15/1958,315.16,314.58,-0.954,0.1908,
10/15/1958,314.71,314.67,0.9116,0.1272,
11/15/1958,315.14,314.73,0.106,0.212,
12/15/1958,315.19,314.83,2.12,0.1696,
1/15/1959,316.19,314.91,-0.212,-0.1908,
2/15/1959,316.09,314.82,-1.4416,0.5088,
3/15/1959,315.41,315.06,-0.4452,0.1484,
4/15/1959,315.2,315.13,0.4876,0.1484,
5/15/1959,315.43,315.2,0.2332,-0.0636,
6/15/1959,315.54,315.17,0.6784,0.636,
7/15/1959,315.86,315.47,-1.0176,0.1696,
8/15/1959,315.38,315.55,0.0636,-0.1272,
9/15/1959,315.41,315.49,0.1484,0.1484,
10/15/1959,315.48,315.56,1.166,0.1484,
11/15/1959,316.03,315.63,-0.3392,0.1272,
12/15/1959,315.87,315.69,0.424,-0.1696,
1/15/1960,316.07,315.61,1.3992,0.2544,
2/15/1960,316.73,315.73,-0.848,0.3604,
3/15/1960,316.33,315.9,0.742,0.1696,
4/15/1960,316.68,315.98,-0.6996,0.1272,
5/15/1960,316.35,316.04,0.0848,0.1484,
6/15/1960,316.39,316.11,-0.0848,0.1484,
7/15/1960,316.35,316.18,-0.1484,0.1272,
8/15/1960,316.28,316.24,0.8904,0.1484,
9/15/1960,316.7,316.31,1.0812,0.1272,
10/15/1960,317.21,316.37,0.5512,0.53,
11/15/1960,317.47,316.62,0.1272,0.106,
12/15/1960,317.53,316.67,-0.6996,-0.5936,
1/15/1961,317.2,316.39,-0.2544,0.4876,
2/15/1961,317.08,316.62,-0.53,0.1272,
3/15/1961,316.83,316.68,0.106,0.1272,
4/15/1961,316.88,316.74,0.1696,0.106,
5/15/1961,316.96,316.79,-0.2332,0.106,
6/15/1961,316.85,316.84,0.4664,1.0176,
7/15/1961,317.07,317.32,0.4028,-0.8056,
8/15/1961,317.26,316.94,-0.2332,0.106,
9/15/1961,317.15,316.99,1.272,0.3392,
10/15/1961,317.75,317.15,-0.2544,-0.1484,
11/15/1961,317.63,317.08,0.5512,-0.4028,
12/15/1961,317.89,316.89,0.3816,0.2332,
1/15/1962,318.07,317,-0.3604,0.3392,
2/15/1962,317.9,317.16,0.8904,0.212,
3/15/1962,318.32,317.26,-0.6996,0.5724,
4/15/1962,317.99,317.53,-0.4452,-0.0212,
5/15/1962,317.78,317.52,0.2544,0.0212,
6/15/1962,317.9,317.53,0.0424,0.1484,
7/15/1962,317.92,317.6,0.9964,-0.1484,
8/15/1962,318.39,317.53,-0.318,0.0848,
9/15/1962,318.24,317.57,-0.1272,-0.0636,
10/15/1962,318.18,317.54,0.6148,-0.1484,
11/15/1962,318.47,317.47,0.9964,-0.5088,
12/15/1962,318.94,317.23,-0.53,0.106,
1/15/1963,318.69,317.28,1.0176,0.5936,
2/15/1963,319.17,317.56,-1.5264,0.5512,
3/15/1963,318.45,317.82,0.2756,0.1484,
4/15/1963,318.58,317.89,-0.2332,1.1872,
5/15/1963,318.47,318.45,0.4876,-0.5088,
6/15/1963,318.7,318.21,-0.5724,-0.0212,
7/15/1963,318.43,318.2,0.2968,-0.53,
8/15/1963,318.57,317.95,0.9964,0.848,
9/15/1963,319.04,318.35,0.7632,0.5936,
10/15/1963,319.4,318.63,-0.1484,-0.4028,
11/15/1963,319.33,318.44,-0.5724,-0.4876,
12/15/1963,319.06,318.21,-0.0212,0.1484,
1/15/1964,319.05,318.28,0.1908,-0.4876,
2/15/1964,319.14,318.05,-0.2544,1.0176,
3/15/1964,319.02,318.53,-0.106,-0.0848,
4/15/1964,318.97,318.49,0.3392,0.0636,
5/15/1964,319.13,318.52,0.848,0.0424,
6/15/1964,319.53,318.54,-0.3392,0.0636,
7/15/1964,319.37,318.57,0.0848,0.0636,
8/15/1964,319.41,318.6,0.0848,0.0636,
9/15/1964,319.45,318.63,-0.106,0.0424,
10/15/1964,319.4,318.65,0.742,0.0636,
11/15/1964,319.75,318.68,0.0636,0.0848,
12/15/1964,319.78,318.72,0.4876,0.0636,
1/15/1965,320.01,318.75,-0.742,0.0848,
2/15/1965,319.66,318.79,0.53,0.106,
3/15/1965,319.91,318.84,-0.6996,0.106,
4/15/1965,319.58,318.89,-0.212,0.106,
5/15/1965,319.48,318.94,-0.1696,0.1272,
6/15/1965,319.4,319,0.848,0.0424,
7/15/1965,319.8,319.02,-0.4452,0.0636,
8/15/1965,319.59,319.05,0.4028,0.212,
9/15/1965,319.78,319.15,-1.0176,0.212,
10/15/1965,319.3,319.25,0.848,0.318,
11/15/1965,319.7,319.4,1.7384,-0.1484,
12/15/1965,320.52,319.33,-0.7632,-0.0424,
1/15/1966,320.16,319.31,1.2932,0.8904,
2/15/1966,320.77,319.73,-0.8692,0.2332,
3/15/1966,320.36,319.84,0.8904,-0.0212,
4/15/1966,320.78,319.83,-1.2296,0.5936,
5/15/1966,320.2,320.11,0.8056,0.6784,
6/15/1966,320.58,320.43,0.7844,-0.106,
7/15/1966,320.95,320.38,0.2756,0.3392,
8/15/1966,321.08,320.54,0.5512,0.4876,
