** Converting from Kg CO2/month to GtC/month,
** Calculated using (GridFED gl)/1000000000000/3.67,
Date,GL_ff_emissions
1959-1,0.24134486
1959-2,0.20889892
1959-3,0.21823276
1959-4,0.19864252
1959-5,0.18812485
1959-6,0.16914989
1959-7,0.16550387
1959-8,0.17788238
1959-9,0.18691287
1959-10,0.20737709
1959-11,0.21561009
1959-12,0.23478579
1960-1,0.25400833
1960-2,0.22779841
1960-3,0.22970057
1960-4,0.20887777
1960-5,0.19772192
1960-6,0.17761092
1960-7,0.17380614
1960-8,0.18685164
1960-9,0.19644598
1960-10,0.21815453
1960-11,0.22692144
1960-12,0.24721652
1961-1,0.25552869
1961-2,0.22101354
1961-3,0.23096986
1961-4,0.20998752
1961-5,0.19883007
1961-6,0.17847915
1961-7,0.17445942
1961-8,0.18760774
1961-9,0.19734011
1961-10,0.21940009
1961-11,0.22837869
1961-12,0.24884415
1962-1,0.26483486
1962-2,0.22908624
1962-3,0.23953155
1962-4,0.21744649
1962-5,0.20574535
1962-6,0.18449306
1962-7,0.18013391
1962-8,0.19384141
1962-9,0.2041859
1962-10,0.22718113
1962-11,0.23670124
1962-12,0.25793873
1963-1,0.28059652
1963-2,0.24256051
1963-3,0.25318688
1963-4,0.22969566
1963-5,0.21706482
1963-6,0.19432884
1963-7,0.18956286
1963-8,0.20423253
1963-9,0.21540467
1963-10,0.24001793
1963-11,0.25036486
1963-12,0.27307136
1964-1,0.29430832
1964-2,0.26348354
1964-3,0.26577908
1964-4,0.24088733
1964-5,0.22751612
1964-6,0.20360107
1964-7,0.19847596
1964-8,0.21391374
1964-9,0.22573895
1964-10,0.25186712
1964-11,0.26277336
1964-12,0.28669897
1965-1,0.30917147
1965-2,0.26716708
1965-3,0.27912362
1965-4,0.25285545
1965-5,0.23879815
1965-6,0.21341286
1965-7,0.20805675
1965-8,0.22420447
1965-9,0.23682374
1965-10,0.26433054
1965-11,0.27615019
1965-12,0.30115318
1966-1,0.32402981
1966-2,0.27977241
1966-3,0.29232546
1966-4,0.26466221
1966-5,0.24974477
1966-6,0.22287386
1966-7,0.21714475
1966-8,0.23417214
1966-9,0.24746693
1966-10,0.27677339
1966-11,0.28929675
1966-12,0.31555164
1967-1,0.33438031
1967-2,0.28868287
1967-3,0.30179368
1967-4,0.27303212
1967-5,0.25775389
1967-6,0.22984204
1967-7,0.22368663
1967-8,0.24127581
1967-9,0.25523616
1967-10,0.28565407
1967-11,0.29866124
1967-12,0.3258718
1968-1,0.35200175
1968-2,0.31479901
1968-3,0.31759917
1968-4,0.28703882
1968-5,0.27083173
1968-6,0.2411219
1968-7,0.2345877
1968-8,0.25310743
1968-9,0.26802924
1968-10,0.30032239
1968-11,0.31435634
1968-12,0.3431691
1969-1,0.37706987
1969-2,0.32554637
1969-3,0.34027698
1969-4,0.30715691
1969-5,0.28955234
1969-6,0.25764607
1969-7,0.2504571
1969-8,0.27035837
1969-9,0.28653988
1969-10,0.32133776
1969-11,0.3367263
1969-12,0.36754347
1970-1,0.40874042
1970-2,0.35264628
1970-3,0.36889565
1970-4,0.33270414
1970-5,0.31333069
1970-6,0.2782221
1970-7,0.27048903
1970-8,0.29200089
1970-9,0.30987991
1970-10,0.34825255
1970-11,0.36501485
1970-12,0.39853829
1971-1,0.42511146
1971-2,0.3665877
1971-3,0.38376764
1971-4,0.3457833
1971-5,0.3257329
1971-6,0.28918527
1971-7,0.28072415
1971-8,0.30319207
1971-9,0.3218852
1971-10,0.36202861
1971-11,0.37977877
1971-12,0.414443
1972-1,0.44351642
1972-2,0.39601875
1972-3,0.40023468
1972-4,0.36048534
1972-5,0.33959618
1972-6,0.30116712
1972-7,0.29225203
1972-8,0.31574415
1972-9,0.33559464
1972-10,0.37768026
1972-11,0.39633825
1972-12,0.43256213
1973-1,0.46849387
1973-2,0.40397961
1973-3,0.42297829
1973-4,0.38110683
1973-5,0.35894746
1973-6,0.31815485
1973-7,0.30890087
1973-8,0.33356128
1973-9,0.35447379
1973-10,0.39928763
1973-11,0.41894984
1973-12,0.45722621
1974-1,0.46604558
1974-2,0.40202038
1974-3,0.42112366
1974-4,0.37949825
1974-5,0.35777792
1974-6,0.31749494
1974-7,0.30842432
1974-8,0.33282686
1974-9,0.35347029
1974-10,0.39773841
1974-11,0.41688077
1974-12,0.45468511
1975-1,0.46516437
1975-2,0.40128829
1975-3,0.42031577
1975-4,0.37894596
1975-5,0.35728847
1975-6,0.31721908
1975-7,0.30826914
1975-8,0.33267325
1975-9,0.35303496
1975-10,0.39694824
1975-11,0.41600785
1975-12,0.45392337
1976-1,0.48915389
1976-2,0.4369898
1976-3,0.44167977
1976-4,0.39795306
1976-5,0.37490357
1976-6,0.33267706
1976-7,0.32317131
1976-8,0.34897276
1976-9,0.37058228
1976-10,0.4168294
1976-11,0.43708625
1976-12,0.47726709
1977-1,0.50338628
1977-2,0.43430221
1977-3,0.45473348
1977-4,0.41014794
1977-5,0.38666875
1977-6,0.3433303
1977-7,0.33359926
1977-8,0.35991785
1977-9,0.38197696
1977-10,0.42925689
1977-11,0.45012326
1977-12,0.49101112
1978-1,0.52134572
1978-2,0.45005188
1978-3,0.47119612
1978-4,0.42507208
1978-5,0.40072108
1978-6,0.35596379
1978-7,0.34607489
1978-8,0.37319648
1978-9,0.39582528
1978-10,0.44479695
1978-11,0.46612942
1978-12,0.50872983
1979-1,0.53532468
1979-2,0.46205117
1979-3,0.48385241
1979-4,0.43651453
1979-5,0.41182635
1979-6,0.36584539
