time,ffco2_GL,ffco2_NH,ffco2_SH,ffco2_NHex,ffco2_TR,ffco2_SHex
1/15/59,8.86E+11,8.60E+11,25634231810,7.77E+11,97466391300,8750289340
2/15/59,7.67E+11,7.42E+11,24393777260,6.70E+11,86404232700,8555279760
3/15/59,8.01E+11,7.72E+11,28856621700,6.94E+11,94123855200,10428493680
4/15/59,7.29E+11,7.00E+11,29470877900,6.27E+11,88737080300,10988262500
5/15/59,6.90E+11,6.58E+11,32401045450,5.87E+11,89195977400,12384813560
6/15/59,6.21E+11,5.88E+11,32803917670,5.22E+11,84029742600,12729864430
7/15/59,6.07E+11,5.73E+11,34776236400,5.07E+11,85603672000,13569219680
8/15/59,6.53E+11,6.19E+11,33643085500,5.51E+11,87620758500,12967306020
9/15/59,6.86E+11,6.55E+11,30849147000,5.86E+11,86902911600,11731635830
10/15/59,7.61E+11,7.31E+11,30407310860,6.55E+11,92462603300,11284663430
11/15/59,7.91E+11,7.64E+11,27337856800,6.88E+11,91640774600,9844611970
12/15/59,8.62E+11,8.35E+11,26663132800,7.54E+11,96520865000,9283706340
1/15/60,9.32E+11,9.05E+11,26942897180,8.18E+11,1.03E+11,9105709100
2/15/60,8.36E+11,8.09E+11,26533312070,7.30E+11,94276608500,9221626500
3/15/60,8.43E+11,8.13E+11,30275180800,7.31E+11,99114783100,10845106070
4/15/60,7.67E+11,7.36E+11,30861966500,6.60E+11,93372742700,11399435470
5/15/60,7.26E+11,6.92E+11,33898179440,6.17E+11,93799817300,12834269120
6/15/60,6.52E+11,6.17E+11,34312539500,5.49E+11,88299198200,13207677560
7/15/60,6.38E+11,6.01E+11,36366865440,5.32E+11,89935023800,14075593320
8/15/60,6.86E+11,6.51E+11,35190523740,5.78E+11,92105667800,13449187800
9/15/60,7.21E+11,6.89E+11,32302415300,6.16E+11,91405374300,12179741120
10/15/60,8.01E+11,7.69E+11,31854123780,6.90E+11,97324117500,11707808590
11/15/60,8.33E+11,8.04E+11,28689432100,7.24E+11,96518939000,10239028620
12/15/60,9.07E+11,8.79E+11,28024682000,7.94E+11,1.02E+11,9677548520
1/15/61,9.38E+11,9.09E+11,28280340360,8.26E+11,1.00E+11,9481745790
2/15/61,8.11E+11,7.84E+11,26861262820,7.11E+11,89135030500,9254652780
3/15/61,8.48E+11,8.16E+11,31743350760,7.37E+11,97356430300,11281403850
4/15/61,7.71E+11,7.38E+11,32352135720,6.65E+11,91984727000,11861204040
5/15/61,7.30E+11,6.94E+11,35522141490,6.22E+11,92796370600,13352213890
6/15/61,6.55E+11,6.19E+11,35960711900,5.52E+11,87650341600,13748355470
7/15/61,6.40E+11,6.02E+11,38099616060,5.35E+11,89394343300,14644210030
8/15/61,6.89E+11,6.52E+11,36856972860,5.81E+11,91325324900,13980522210
9/15/61,7.24E+11,6.90E+11,33867228360,6.19E+11,90339309000,12681522960
10/15/61,8.05E+11,7.72E+11,33381518960,6.95E+11,95909482300,12167581140
11/15/61,8.38E+11,8.08E+11,30084182660,7.31E+11,94789932700,10646928800
12/15/61,9.13E+11,8.84E+11,29376809120,8.01E+11,99620122300,10045858830
1/15/62,9.72E+11,9.43E+11,29331741450,8.57E+11,1.03E+11,9838247860
2/15/62,8.41E+11,8.13E+11,27878936100,7.38E+11,91217824500,9619845490
3/15/62,8.79E+11,8.46E+11,32952324850,7.65E+11,99756252500,11728125480
4/15/62,7.98E+11,7.64E+11,33649909400,6.89E+11,94412531800,12380426970
5/15/62,7.55E+11,7.18E+11,36959452450,6.44E+11,95428565800,13941348850
6/15/62,6.77E+11,6.40E+11,37412837000,5.71E+11,90292971200,14350639450
7/15/62,6.61E+11,6.21E+11,39660986550,5.52E+11,92144483500,15302753220
8/15/62,7.11E+11,6.73E+11,38363811550,6.01E+11,94021335100,14608981130
9/15/62,7.49E+11,7.14E+11,35221467000,6.41E+11,92858485800,13229927470
10/15/62,8.34E+11,7.99E+11,34708741150,7.21E+11,98428737100,12692473660
11/15/62,8.69E+11,8.37E+11,31248302660,7.58E+11,97113173800,11086730470
12/15/62,9.47E+11,9.16E+11,30503255550,8.32E+11,1.02E+11,10455762070
1/15/63,1.03E+12,1.00E+12,30203896650,9.10E+11,1.07E+11,10103412030
2/15/63,8.90E+11,8.61E+11,28683046060,7.83E+11,95147881500,9857294420
3/15/63,9.29E+11,8.95E+11,33916621500,8.11E+11,1.04E+11,12037313350
