Year,Sink,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1959,2.174399873,2.415,1.804199873,2.0448,0.86136776,0.677444847,0.012683731,0.622903535
1960,2.695140633,2.548,1.659440633,1.5123,0.839096499,1.258398987,0.0138388,0.583806348
1961,2.485236134,2.553,1.593636134,1.6614,0.716515779,0.660306208,0.014726464,1.093687683
1962,3.007121639,2.644,1.555921639,1.1928,0.768401967,1.408220922,0.015871008,0.814627743
1963,3.091142955,2.794,1.511242955,1.2141,0.917364745,1.023822621,0.016862708,1.13309288
1964,3.362767758,2.939,1.467467758,1.0437,1.111325553,1.529523498,0.018451229,0.703467479
1965,2.155180237,3.076,1.422180237,2.343,1.230950689,0.480777095,0.019485973,0.423966479
1966,2.267845416,3.219,1.391845416,2.343,1.188125641,1.434329464,0.020914843,-0.375524531
1967,3.39606576,3.322,1.37336576,1.2993,0.994841574,1.64082213,0.021952478,0.738449579
1968,2.761135055,3.503,1.366835055,2.1087,1.067597545,2.367404224,0.023532643,-0.697399357
1969,2.298103771,3.737,1.372703771,2.8116,1.1083965,0.748211123,0.024966523,0.416529625
1970,2.998477564,4.047,1.358377564,2.4069,1.032788169,0.723909317,0.026489823,1.215290255
1971,3.990989895,4.21,1.335889895,1.5549,1.097282057,2.285129484,0.02799151,0.580586844
1972,2.581229239,4.406,1.306329239,3.1311,1.333599815,1.321762658,0.030485451,-0.104618684
1973,2.828037641,4.64,1.297837641,3.1098,1.300810504,1.79560863,0.032610441,-0.300991934
1974,4.440165411,4.62,1.268565411,1.4484,1.213921316,3.547957631,0.033395811,-0.355109346
1975,3.246218086,4.613,1.253118086,2.6199,1.175959156,2.407023058,0.034104433,-0.370868561
1976,4.026882204,4.858,1.234982204,2.0661,1.282040229,2.869446111,0.036066968,-0.160671104
1977,2.121924072,4.991,1.220524072,4.0896,1.39038403,1.582221574,0.038465278,-0.88914681
1978,3.61908333,5.174,1.19278333,2.7477,1.446760821,2.551675548,0.041111291,-0.42046433
1979,1.916815712,5.312,1.163015712,4.5582,1.321533679,1.618457512,0.04259889,-1.065774368
1980,2.862153403,5.286,1.197153403,3.621,1.633583313,0.780913097,0.043860727,0.403796267
1981,3.943665741,5.142,1.212405741,2.41074,1.61695175,2.258690189,0.044740827,0.023282976
1982,4.140604888,5.104,1.213704888,2.1771,1.709340677,1.786388242,0.045586188,0.599289781
1983,2.499030107,5.152,1.244570107,3.89754,1.865454776,0.6738237,0.047107128,-0.087355497
1984,3.829902365,5.302,1.278482365,2.75058,1.731134394,2.835898104,0.048557117,-0.785687249
1985,3.333851351,5.49,1.295351351,3.4515,1.628534955,2.706800257,0.049960639,-1.0514445
1986,4.614372647,5.568,1.319052647,2.27268,1.700763997,2.348568691,0.052336417,0.512703542
1987,1.333076787,5.749,1.340116787,5.75604,1.807215862,0.824022372,0.054798024,-1.352959471
1988,2.54799948,5.968,1.36961948,4.78962,1.707611608,2.196890912,0.058076626,-1.414579666
