time,ENSO
3/15/1958,1.3
4/15/1958,0.9
5/15/1958,0.7
6/15/1958,0.6
7/15/1958,0.6
8/15/1958,0.4
9/15/1958,0.4
10/15/1958,0.4
11/15/1958,0.5
12/15/1958,0.6
1/15/1959,0.6
2/15/1959,0.6
3/15/1959,0.5
4/15/1959,0.3
5/15/1959,0.2
6/15/1959,-0.1
7/15/1959,-0.2
8/15/1959,-0.3
9/15/1959,-0.1
10/15/1959,0
11/15/1959,0
12/15/1959,0
1/15/1960,-0.1
2/15/1960,-0.1
3/15/1960,-0.1
4/15/1960,0
5/15/1960,0
6/15/1960,0
7/15/1960,0.1
8/15/1960,0.2
9/15/1960,0.3
10/15/1960,0.2
11/15/1960,0.1
12/15/1960,0.1
1/15/1961,0
2/15/1961,0
3/15/1961,0
4/15/1961,0.1
5/15/1961,0.2
6/15/1961,0.3
7/15/1961,0.1
8/15/1961,-0.1
9/15/1961,-0.3
10/15/1961,-0.3
11/15/1961,-0.2
12/15/1961,-0.2
1/15/1962,-0.2
2/15/1962,-0.2
3/15/1962,-0.2
4/15/1962,-0.3
5/15/1962,-0.3
6/15/1962,-0.2
7/15/1962,0
8/15/1962,-0.1
9/15/1962,-0.1
10/15/1962,-0.2
11/15/1962,-0.3
12/15/1962,-0.4
1/15/1963,-0.4
2/15/1963,-0.2
3/15/1963,0.2
4/15/1963,0.3
5/15/1963,0.3
6/15/1963,0.5
7/15/1963,0.9
8/15/1963,1.1
9/15/1963,1.2
10/15/1963,1.3
11/15/1963,1.4
12/15/1963,1.3
1/15/1964,1.1
2/15/1964,0.6
3/15/1964,0.1
4/15/1964,-0.3
5/15/1964,-0.6
6/15/1964,-0.6
7/15/1964,-0.6
8/15/1964,-0.7
9/15/1964,-0.8
10/15/1964,-0.8
11/15/1964,-0.8
12/15/1964,-0.8
1/15/1965,-0.6
2/15/1965,-0.3
3/15/1965,-0.1
4/15/1965,0.2
5/15/1965,0.5
6/15/1965,0.8
7/15/1965,1.2
8/15/1965,1.5
9/15/1965,1.9
10/15/1965,2
11/15/1965,2
12/15/1965,1.7
1/15/1966,1.4
2/15/1966,1.2
3/15/1966,1
4/15/1966,0.7
5/15/1966,0.4
6/15/1966,0.2
7/15/1966,0.2
8/15/1966,0.1
9/15/1966,-0.1
10/15/1966,-0.1
11/15/1966,-0.2
12/15/1966,-0.3
1/15/1967,-0.4
2/15/1967,-0.5
3/15/1967,-0.5
4/15/1967,-0.4
5/15/1967,-0.2
6/15/1967,0
7/15/1967,0
8/15/1967,-0.2
9/15/1967,-0.3
10/15/1967,-0.4
11/15/1967,-0.3
12/15/1967,-0.4
1/15/1968,-0.6
2/15/1968,-0.7
3/15/1968,-0.6
4/15/1968,-0.4
5/15/1968,0
6/15/1968,0.3
7/15/1968,0.6
8/15/1968,0.5
9/15/1968,0.4
10/15/1968,0.5
11/15/1968,0.7
12/15/1968,1
1/15/1969,1.1
2/15/1969,1.1
3/15/1969,0.9
4/15/1969,0.8
5/15/1969,0.6
6/15/1969,0.4
7/15/1969,0.4
8/15/1969,0.5
9/15/1969,0.8
10/15/1969,0.9
11/15/1969,0.8
12/15/1969,0.6
1/15/1970,0.5
2/15/1970,0.3
3/15/1970,0.3
4/15/1970,0.2
5/15/1970,0
6/15/1970,-0.3
7/15/1970,-0.6
8/15/1970,-0.8
9/15/1970,-0.8
10/15/1970,-0.7
11/15/1970,-0.9
12/15/1970,-1.1
1/15/1971,-1.4
2/15/1971,-1.4
3/15/1971,-1.1
4/15/1971,-0.8
5/15/1971,-0.7
6/15/1971,-0.7
7/15/1971,-0.8
8/15/1971,-0.8
9/15/1971,-0.8
10/15/1971,-0.9
11/15/1971,-1
12/15/1971,-0.9
1/15/1972,-0.7
2/15/1972,-0.4
3/15/1972,0.1
4/15/1972,0.4
